
5739215,42087859
950785,6810956
1766396,8703480
1993817,12901231
225584,1049209
6582761,55782026
1193991,6146281
2824910,17678658
2844848,20692379
956617,5470195
61504,253105
5403253,32827743
2750329,13657741
3832130,33875336
2124408,12898546
1403544,8637368
3346592,32048153
5641112,54422927
5629293,39825908
1701822,10521805
1008870,3273006
3972584,37703934
11325312,80188074
1448245,7873012
2176188,9554508
1365615,5850592
9602705,74697284
1758481,8376498
229476,1338802
780739,5212598
1405496,6490043
7043808,53321218
